"CO2.Concentration"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
0	2024-12-30	2024-12-30 15:29:40	15H 29M 40S	30	12	2024	29
0	2024-12-23	2024-12-23 01:05:12	1H 5M 12S	23	12	2024	5
308	2024-12-21	2024-12-21 01:20:01	1H 20M 1S	21	12	2024	20
303	2024-12-21	2024-12-21 02:10:00	2H 10M 0S	21	12	2024	10
299	2024-12-21	2024-12-21 02:35:00	2H 35M 0S	21	12	2024	35
307	2024-12-21	2024-12-21 03:00:00	3H 0M 0S	21	12	2024	0
308	2024-12-21	2024-12-21 03:25:00	3H 25M 0S	21	12	2024	25
315	2024-12-21	2024-12-21 03:50:00	3H 50M 0S	21	12	2024	50
300	2024-12-21	2024-12-21 04:39:59	4H 39M 59S	21	12	2024	39
308	2024-12-21	2024-12-21 05:04:59	5H 4M 59S	21	12	2024	4
307	2024-12-21	2024-12-21 05:29:59	5H 29M 59S	21	12	2024	29
313	2024-12-21	2024-12-21 05:54:59	5H 54M 59S	21	12	2024	54
313	2024-12-21	2024-12-21 06:19:59	6H 19M 59S	21	12	2024	19
315	2024-12-21	2024-12-21 07:09:59	7H 9M 59S	21	12	2024	9
315	2024-12-21	2024-12-21 07:09:59	7H 9M 59S	21	12	2024	9
311	2024-12-21	2024-12-21 07:34:59	7H 34M 59S	21	12	2024	34
309	2024-12-21	2024-12-21 07:59:59	7H 59M 59S	21	12	2024	59
314	2024-12-21	2024-12-21 08:24:58	8H 24M 58S	21	12	2024	24
303	2024-12-21	2024-12-21 08:49:59	8H 49M 59S	21	12	2024	49
303	2024-12-21	2024-12-21 09:39:58	9H 39M 58S	21	12	2024	39
311	2024-12-21	2024-12-21 10:04:58	10H 4M 58S	21	12	2024	4
298	2024-12-21	2024-12-21 10:29:58	10H 29M 58S	21	12	2024	29
293	2024-12-21	2024-12-21 10:54:58	10H 54M 58S	21	12	2024	54
304	2024-12-21	2024-12-21 11:19:58	11H 19M 58S	21	12	2024	19
294	2024-12-21	2024-12-21 12:09:58	12H 9M 58S	21	12	2024	9
291	2024-12-21	2024-12-21 12:59:57	12H 59M 57S	21	12	2024	59
285	2024-12-21	2024-12-21 13:49:57	13H 49M 57S	21	12	2024	49
297	2024-12-21	2024-12-21 14:39:57	14H 39M 57S	21	12	2024	39
335	2024-12-20	2024-12-20 10:20:05	10H 20M 5S	20	12	2024	20
333	2024-12-20	2024-12-20 13:40:04	13H 40M 4S	20	12	2024	40
324	2024-12-20	2024-12-20 14:05:04	14H 5M 4S	20	12	2024	5
317	2024-12-20	2024-12-20 14:30:04	14H 30M 4S	20	12	2024	30
288	2024-12-20	2024-12-20 16:10:03	16H 10M 3S	20	12	2024	10
290	2024-12-20	2024-12-20 16:35:03	16H 35M 3S	20	12	2024	35
270	2024-12-20	2024-12-20 17:25:03	17H 25M 3S	20	12	2024	25
279	2024-12-20	2024-12-20 17:50:03	17H 50M 3S	20	12	2024	50
286	2024-12-20	2024-12-20 18:40:03	18H 40M 3S	20	12	2024	40
282	2024-12-20	2024-12-20 19:05:02	19H 5M 2S	20	12	2024	5
289	2024-12-20	2024-12-20 19:30:02	19H 30M 2S	20	12	2024	30
281	2024-12-20	2024-12-20 19:55:02	19H 55M 2S	20	12	2024	55
296	2024-12-20	2024-12-20 21:10:02	21H 10M 2S	20	12	2024	10
294	2024-12-20	2024-12-20 21:35:02	21H 35M 2S	20	12	2024	35
289	2024-12-20	2024-12-20 22:00:03	22H 0M 3S	20	12	2024	0
299	2024-12-20	2024-12-20 22:25:01	22H 25M 1S	20	12	2024	25
298	2024-12-20	2024-12-20 22:50:01	22H 50M 1S	20	12	2024	50
299	2024-12-20	2024-12-20 23:40:01	23H 40M 1S	20	12	2024	40
